episode,reward,total_wait,epsilon
244,-4200.25,4229.25,0.0852
245,-2905.0,2914.0,0.0844
246,-1143.75,1170.75,0.0835
247,-2807.5,2835.5,0.0827
248,-18550.8,18489.8,0.0819
249,-8751.25,8816.25,0.0811
250,-1966.25,1996.25,0.0802
251,-3528.0,3578.0,0.0794
252,-7897.25,7891.25,0.0787
253,-3988.0,4010.0,0.0779
254,-1283.5,1289.5,0.0771
255,-1996.75,2042.75,0.0763
256,-865.25,870.25,0.0756
257,-750.5,747.5,0.0748
258,-15373.6,15333.6,0.074
259,-5155.5,5205.5,0.0733
260,-13560.35,13527.35,0.0726
261,-1919.5,1961.5,0.0718
262,-1528.25,1551.25,0.0711
263,-1232.25,1263.25,0.0704
264,-4854.25,4929.25,0.0697
265,-7888.75,7878.75,0.069
266,-831.5,869.5,0.0683
267,-4115.05,4091.05,0.0676
268,-16736.35,16751.35,0.067
269,-11948.9,11986.9,0.0663
270,-10927.8,10845.8,0.0656
271,-13649.95,13544.95,0.065
272,-2303.75,2346.75,0.0643
273,-4022.5,4109.5,0.0637
274,-4246.0,4313.0,0.063
275,-2775.0,2838.0,0.0624
276,-9636.05,9650.05,0.0618
277,-8967.25,9001.25,0.0612
278,-4122.0,4223.0,0.0606
279,-14798.85,14781.85,0.06
280,-7444.75,7510.75,0.0594
281,-5138.25,5153.25,0.0588
282,-3623.15,3575.15,0.0582
283,-2608.75,2654.75,0.0576
284,-6183.25,6245.25,0.057
285,-14352.6,14303.6,0.0565
286,-1344.75,1401.75,0.0559
287,-7535.25,7666.25,0.0553
288,-7557.75,7607.75,0.0548
289,-2928.25,2965.25,0.0542
290,-9359.75,9507.75,0.0537
291,-5911.25,6005.25,0.0531
292,-4164.65,4111.65,0.0526
293,-2798.25,2843.25,0.0521
294,-2563.75,2640.75,0.0516
295,-10065.0,10143.0,0.0511
296,-10016.75,10110.75,0.0505
297,-9808.65,9717.65,0.05
298,-986.75,1014.75,0.0495
299,-8493.25,8551.25,0.049
300,-772.0,811.0,0.0486
301,-1695.0,1738.0,0.0481
302,-1080.5,1100.5,0.0476
303,-3409.5,3444.5,0.0471
304,-1071.25,1094.25,0.0466
305,-8963.75,9085.75,0.0462
306,-10182.75,10265.75,0.0457
307,-9473.75,9537.75,0.0453
308,-2961.6,2922.6,0.0448
309,-1399.0,1435.0,0.0444
310,-9524.5,9611.5,0.0439
311,-880.25,893.25,0.0435
312,-7933.25,8041.25,0.043
313,-3017.0,3079.0,0.0426
314,-3683.1,3699.1,0.0422
315,-4237.1,4235.1,0.0418
316,-7335.8,7352.8,0.0413
317,-9312.25,9413.25,0.0409
318,-7019.0,7069.0,0.0405
319,-13012.2,13039.2,0.0401
320,-3719.95,3726.95,0.0397
321,-3496.65,3473.65,0.0393
322,-3060.5,3090.5,0.0389
323,-1106.0,1148.0,0.0385
324,-3064.25,3097.25,0.0381
325,-758.25,802.25,0.0378
326,-2736.25,2778.25,0.0374
327,-2373.25,2396.25,0.037
328,-963.0,1020.0,0.0366
329,-4037.35,4037.35,0.0363
330,-816.5,838.5,0.0359
331,-9304.15,9195.15,0.0356
332,-2364.25,2457.25,0.0352
333,-7902.25,7973.25,0.0348
334,-4903.25,4987.25,0.0345
335,-2323.5,2356.5,0.0342
336,-4734.25,4784.25,0.0338
337,-5344.75,5322.75,0.0335
338,-1811.95,1749.95,0.0331
339,-921.0,947.0,0.0328
340,-4908.25,4942.25,0.0325
341,-2014.0,2018.0,0.0322
342,-7007.1,6989.1,0.0318
343,-15588.7,15634.7,0.0315
344,-4157.75,4141.75,0.0312
345,-5901.25,5962.25,0.0309
346,-673.75,680.75,0.0306
347,-15597.1,15621.1,0.0303
348,-11694.65,11716.65,0.03
349,-5689.0,5767.0,0.0297
350,-12439.25,12444.25,0.0294
351,-3207.5,3267.5,0.0291
352,-20534.85,20471.85,0.0288
353,-684.75,691.75,0.0285
354,-820.75,844.75,0.0282
